ds,y
1970-01-01 00:01:20.462500000,1590969600
1970-01-01 00:01:20.580000000,1591228800
1970-01-01 00:01:20.835000000,1591056000
1970-01-01 00:01:21.280000000,1591142400
1970-01-01 00:01:22.875000000,1591315200
1970-01-01 00:01:23.365000000,1591574400
1970-01-01 00:01:23.975000000,1591833600
1970-01-01 00:01:24.700000000,1591920000
1970-01-01 00:01:25.747500000,1592179200
1970-01-01 00:01:25.997500000,1591660800
1970-01-01 00:01:27.430000000,1592524800
1970-01-01 00:01:27.897500000,1592352000
1970-01-01 00:01:27.932500000,1592438400
1970-01-01 00:01:28.020000000,1592265600
1970-01-01 00:01:28.210000000,1591747200
1970-01-01 00:01:28.407500000,1593129600
1970-01-01 00:01:29.717500000,1592784000
1970-01-01 00:01:30.015000000,1592956800
1970-01-01 00:01:30.445000000,1593388800
1970-01-01 00:01:31.027500000,1593561600
1970-01-01 00:01:31.027500000,1593648000
1970-01-01 00:01:31.200000000,1593475200
1970-01-01 00:01:31.210000000,1593043200
1970-01-01 00:01:31.632500000,1592870400
1970-01-01 00:01:32.615000000,1595548800
1970-01-01 00:01:32.845000000,1595462400
1970-01-01 00:01:33.172500000,1594080000
1970-01-01 00:01:33.252500000,1595894400
1970-01-01 00:01:33.462500000,1593993600
1970-01-01 00:01:34.810000000,1595808000
1970-01-01 00:01:35.040000000,1595980800
1970-01-01 00:01:35.342500000,1594166400
1970-01-01 00:01:35.477500000,1594598400
1970-01-01 00:01:35.682500000,1594252800
1970-01-01 00:01:35.920000000,1594339200
1970-01-01 00:01:36.190000000,1596067200
1970-01-01 00:01:36.327500000,1594944000
1970-01-01 00:01:36.522500000,1594857600
1970-01-01 00:01:37.000000000,1595289600
1970-01-01 00:01:37.057500000,1594684800
1970-01-01 00:01:37.272500000,1595376000
1970-01-01 00:01:37.725000000,1594771200
1970-01-01 00:01:38.357500000,1595203200
1970-01-01 00:01:46.260000000,1596153600
1970-01-01 00:01:46.840000000,1600387200
1970-01-01 00:01:47.120000000,1600819200
1970-01-01 00:01:48.220000000,1600905600
1970-01-01 00:01:48.770000000,1604275200
1970-01-01 00:01:48.860000000,1604016000
1970-01-01 00:01:48.937500000,1596412800
1970-01-01 00:01:49.375000000,1597104000
1970-01-01 00:01:49.665000000,1596499200
1970-01-01 00:01:50.062500000,1596585600
1970-01-01 00:01:50.080000000,1600646400
1970-01-01 00:01:50.340000000,1600300800
1970-01-01 00:01:50.440000000,1604361600
1970-01-01 00:01:51.112500000,1596758400
1970-01-01 00:01:51.200000000,1603843200
1970-01-01 00:01:51.810000000,1600732800
1970-01-01 00:01:52.000000000,1599782400
1970-01-01 00:01:52.130000000,1600214400
1970-01-01 00:01:52.280000000,1600992000
1970-01-01 00:01:52.727500000,1597017600
1970-01-01 00:01:52.820000000,1599523200
1970-01-01 00:01:53.010000000,1597190400
1970-01-01 00:01:53.020000000,1601596800
1970-01-01 00:01:53.160000000,1601942400
1970-01-01 00:01:53.490000000,1599696000
1970-01-01 00:01:53.850000000,1606089600
1970-01-01 00:01:53.902500000,1596672000
1970-01-01 00:01:54.090000000,1601337600
1970-01-01 00:01:54.607500000,1597622400
1970-01-01 00:01:54.907500000,1597363200
1970-01-01 00:01:54.950000000,1604448000
1970-01-01 00:01:54.960000000,1601251200
1970-01-01 00:01:54.970000000,1602115200
1970-01-01 00:01:55.010000000,1597276800
1970-01-01 00:01:55.040000000,1603411200
1970-01-01 00:01:55.050000000,1603670400
1970-01-01 00:01:55.080000000,1602028800
1970-01-01 00:01:55.170000000,1606176000
1970-01-01 00:01:55.320000000,1603929600
1970-01-01 00:01:55.355000000,1600041600
1970-01-01 00:01:55.540000000,1600128000
1970-01-01 00:01:55.562500000,1597708800
1970-01-01 00:01:55.707500000,1597795200
1970-01-01 00:01:55.750000000,1603324800
1970-01-01 00:01:55.810000000,1601424000
1970-01-01 00:01:55.970000000,1604966400
1970-01-01 00:01:55.980000000,1603065600
1970-01-01 00:01:56.030000000,1606262400
1970-01-01 00:01:56.320000000,1604880000
1970-01-01 00:01:56.360000000,1615161600
1970-01-01 00:01:56.500000000,1601856000
1970-01-01 00:01:56.590000000,1606435200
1970-01-01 00:01:56.600000000,1603756800
1970-01-01 00:01:56.790000000,1601510400
1970-01-01 00:01:56.870000000,1603238400
1970-01-01 00:01:56.970000000,1602201600
1970-01-01 00:01:57.320000000,1599609600
1970-01-01 00:01:57.340000000,1605830400
1970-01-01 00:01:57.510000000,1603152000
1970-01-01 00:01:58.030000000,1605657600
1970-01-01 00:01:58.275000000,1597881600
1970-01-01 00:01:58.640000000,1605744000
1970-01-01 00:01:58.690000000,1604620800
1970-01-01 00:01:59.020000000,1602806400
1970-01-01 00:01:59.030000000,1604534400
1970-01-01 00:01:59.050000000,1606694400
1970-01-01 00:01:59.210000000,1605139200
1970-01-01 00:01:59.260000000,1605225600
1970-01-01 00:01:59.390000000,1605571200
1970-01-01 00:01:59.490000000,1605052800
1970-01-01 00:01:59.900000000,1617062400
1970-01-01 00:01:59.980000000,1615334400
1970-01-01 00:01:59.990000000,1616112000
1970-01-01 00:02:00.090000000,1616544000
1970-01-01 00:02:00.130000000,1614816000
1970-01-01 00:02:00.300000000,1605484800
